,Date,TweetID,Text,BTC Price,User Location,User follower count,UserFollowingCount,User Verified,Quote Status?,AccountCreationDate,Default Profile Theme?,DefaultProfileImage,TotalAccountLikes,Subjectivity,Polarity
11,7/14/2021,1.41538E+18," I wasn’t knowledgeable about investments but learning how to invest in crypto and bitcoin mining has changed my life and allowed me to be profitable even during the dip, kindly send a dm to learn more ",32807.19,Nomad,352,155,FALSE,FALSE,9/21/2018 0:27,FALSE,FALSE,155,0.7,0.55
60,7/14/2021,1.41538E+18," i got an extra few bitcoin from it so far, starting in q3 2019 and getting the collateralized loan and paying off unsecured debt in q4 2020new 0% offers started arriving late january 2021it all comes down to how much bitcoin you have, risk, and where we're at in the cycle",32807.19,814F 5184 083D 879F DFED CF12,223,1469,FALSE,FALSE,8/30/2016 18:05,FALSE,FALSE,1469,0.298611111,-0.031944444
74,7/14/2021,1.41538E+18,"      As we all know, peoples are talking about inflation. We need to do something about it, to save our asset, and Crypto is a solution. By buying Bitcoin    the value of our asset will be secure as it will not decrease but increase. DM me If you are interested for more info.",32807.19,United States of America,2240,1539,FALSE,FALSE,7/4/2019 9:51,TRUE,FALSE,1539,0.533333333,0.383333333
78,7/14/2021,1.41538E+18,  Or get paid initially and invest it into Bitcoin. Lmao what if it’s worth less in a year he gets paid out less. Smh,32807.19,United States of America,1013,648,FALSE,FALSE,10/18/2010 13:49,FALSE,FALSE,648,0.246666667,0.113333333
90,7/14/2021,1.41538E+18,  is the easiest way to buy Bitcoin hands down,32807.19,wouldn’t you like to know ,2276,954,FALSE,FALSE,4/22/2011 0:33,FALSE,FALSE,954,0.288888889,-0.155555556
94,7/14/2021,1.41538E+18,[1D] Bitcoin market is weakly trending down current momentum suggests the market is neutral. FF forextrading broker visit:  for more!,32807.19,,417,195,FALSE,FALSE,8/24/2015 14:03,FALSE,FALSE,195,0.453472222,0.023611111
98,7/14/2021,1.41538E+18," As we all know, peoples are talking about inflation. We need to do something about it, to save our asset, and Crypto is a solution. By buying Bitcoin    the value of our asset will be secure as it will not decrease but increase. DM me If you are interested for more info.",32807.19,United States of America,2240,1539,FALSE,FALSE,7/4/2019 9:51,TRUE,FALSE,1539,0.533333333,0.383333333
100,7/14/2021,1.41538E+18, Dollar can't crash when all investors are escaping other fiat into USD. But USD will crash when investor reflexively demand bitcoin. At that point inflation is hyperinflation in all fiat.,32807.19,United States of America,185,145,FALSE,FALSE,2/9/2009 3:21,FALSE,FALSE,145,0.375,-0.125
101,7/14/2021,1.41538E+18," Hey 'Ed Mate. fk giving that Public service NFA statement. I don't see why you should feel like that, Your work is stellar. Always top notch!If individuals are not able to think critically then maybe they should find another pastime. Keep up the good workBitcoin BTC BULLISH ",32807.19,United Kingdom,729,728,FALSE,FALSE,7/18/2012 22:14,FALSE,FALSE,728,0.473611111,0.2
110,7/14/2021,1.41538E+18,Thanks  pleasure to be back on with you and Kenny   bitcoin openbanking ,32807.19,United Kingdom,932,1874,FALSE,TRUE,11/25/2015 18:38,FALSE,FALSE,1874,0.1,0.1
112,7/14/2021,1.41538E+18,CDW Tech Talk: Protecting Business’s New Digital Landscape video amazon news seattle youtube bitcoin twitter crypto facebook cdwsocial  ,32807.19,United States of America,8956,7839,FALSE,FALSE,2/7/2017 1:18,TRUE,FALSE,7839,0.227272727,0.068181818
117,7/14/2021,1.41538E+18,"  The agent gets bitcoin too? Nice, but That's assuming if the agent is already comfortable.",32807.19,,508,1181,FALSE,FALSE,4/23/2010 2:29,FALSE,FALSE,1181,0.9,0.5
123,7/14/2021,1.41538E+18,I'm so sick and tired of bitcoin ,32807.19,,119,2656,FALSE,FALSE,8/16/2010 6:30,TRUE,FALSE,2656,0.778571429,-0.557142857
148,7/14/2021,1.41538E+18,Hey I joined a network called SurveyJ and earned $309 today! You get paid for testing out new free apps and posting on social media. Sign up with my link for an instant $40 signup bonus!  surveyj cashapp bitcoin,32807.19,South Africa,392,1612,FALSE,FALSE,2/25/2017 16:57,TRUE,FALSE,1612,0.496969697,0.142424242
149,7/14/2021,1.41538E+18," Registered democrat here, does that mean I need to sell all of my Bitcoin? Ew do I need to trade it all in for Doge?",32807.19,Earth...for now. ,1873,2078,FALSE,FALSE,6/6/2013 17:11,FALSE,FALSE,2078,0.6875,-0.3125
