"X","Date","TweetID","Text","BTC.Price","User.Location","User.follower.count","UserFollowingCount","User.Verified","Quote.Status.","AccountCreationDate","Default.Profile.Theme.","DefaultProfileImage","TotalAccountLikes","Subjectivity","Polarity"
17,"07/15/2021",1415645210541842432,"‘It’s fine’ to buy Bitcoin as gold substitute, says Trump ex-Treasury Secretary Mnuchin ",31854.32,"",727,1179,"False","False","2013-06-24 02:52:53","True","False",1179,0.5,0.416666666666667
19,"07/15/2021",1415645204925673472,"‘It’s fine’ to buy Bitcoin as gold substitute, says Trump ex-Treasury Secretary Mnuchin  bizassetinsights bacdaily DeFi bizadigitalasset DigitalAssets",31854.32,"Zug, Switzerland",141,1697,"False","False","2020-11-30 12:29:58","True","False",1697,0.5,0.416666666666667
35,"07/15/2021",1415645179978076160,"800,000 views in 24 hrs Max &amp; Stacy: The most watched Bitcoin content in the world for 10 years.  ",31854.32,"",356000,1480,"False","False","2009-02-08 16:09:24","False","False",1480,0.5,0.5
42,"07/15/2021",1415645172008898560,"Bitcoin network node count sets new all-time high Bitcoin via  ",31854.32,"United Kingdom",332,1025,"False","False","2011-03-07 02:06:02","True","False",1025,0.497272727272727,0.148181818181818
67,"07/15/2021",1415645135287865344,"Bitcoin (BTC) Price Drops below US$33,000 Level, Wild Price Movement expected in Coming 60-DaysREAD MORE : bitcoin btc cryptocurrency crypto cryptotrading cryptocurrencies cryptonews trading CryptoBOT BitcoinBot altcoins ethereum eth ada ",31854.32,"France",2846,401,"False","False","2019-03-20 14:19:32","False","False",401,0.433333333333333,0.166666666666667
89,"07/15/2021",1415645095387303936,"   If that lawyer had half a brain, while he's got you under oath he could ask you the one question that would change everything: ""Did you create bitcoin?""",31854.32,"Upper Hutt City, New Zealand",12,142,"False","False","2016-11-15 01:30:30","True","False",142,0.166666666666667,-0.166666666666667
100,"07/15/2021",1415645082481565696,"Crypto currencies are crypto cultures. Each culture embeds its values into its blockchain. It’s a socio technical arrangement. Bitcoin is an expression of the values of Freedom, Inclusion &amp; Economic empowerment. Btc ",31854.32,"Canada",17808,229,"True","False","2017-11-30 17:30:11","False","False",229,0.15,0.1
102,"07/15/2021",1415645077435600896,"LavaCake is a great project, They really will bring us into success.    YieldFarming Airdrop Binance Bitcoin pancakeswap BNB cryptocurrency DeFi BTC BinanceSmartChain BSC ",31854.32,"United States of America",1030,111,"False","True","2013-08-29 12:44:24","True","False",111,0.316666666666667,0.433333333333333
106,"07/15/2021",1415645066933248000,"Not sure if this bull flag will hold, let's see what happens the coming days with the GBTC unlockIf Bitcoin holds this channel it would be really bullish, if not and in case we get a capitulation, 28K should give good support (would be the ideal BTD lvl) ",31854.32,"",4561,649,"False","False","2014-01-12 05:58:02","False","False",649,0.672222222222222,0.3875
110,"07/15/2021",1415645056111833088," Bitcoin looking like crap. A lot of altcoins look like they want to run hard (nfts atm, defi soon), but bitcoin is holding everything down.",31854.32,"",40,268,"False","False","2019-06-17 08:34:00","True","False",268,0.543518518518519,-0.415740740740741
127,"07/15/2021",1415645024633634816,"Bloody Sunday? ",31854.32,"",1565,1257,"False","False","2018-03-20 21:32:52","True","False",1257,0.9,-0.8
132,"07/15/2021",1415645017784258560,"Bitop Exchange – Powerful Trading Platform for Cryptocurrency Traders: Author – NewsBTC  Published By FeedzyCryp bitcoin ",31854.32,"",1689,1179,"False","False","2015-05-21 12:03:39","True","False",1179,1,0.3
174,"07/15/2021",1415644952307060736,"Tomorrow I'm recording  S9 E8 with a certain Justin guy who goes by the name of Junseth.He was on some obscure podcast a few years ago, came up with some hot takes and memes, and likes people who just found out about Bitcoin.Got any questions for him?",31854.32,"Wallachia",8756,1591,"False","False","2012-05-08 18:33:24","False","False",1591,0.507142857142857,0.0880952380952381
182,"07/15/2021",1415644939359342592,"  From the article you cite: ""We ...  show that Bitcoin ownership is much less concentrated than often reported – and has in fact seen a dispersion over the years.""Ofc we would expect concentration initially, but what's important is the trend. It is disbursing, not consolidating.",31854.32,"United States of America",338,970,"False","False","2012-03-19 16:24:17","True","False",970,0.355555555555556,0.0777777777777778
207,"07/15/2021",1415644899148550144,"           Maybe the judge has lost Bitcoin fortune. Then it will be a bad result",31854.32,"Norway",103,455,"False","False","2012-08-20 15:09:27","False","False",455,0.666666666666667,-0.7
227,"07/15/2021",1415644867372400640," We’re all tired of Bitcoin controlling the entire market. We don’t need your fucking Bitcoin",31854.32,"United States of America",50,144,"False","False","2020-09-08 03:02:52","True","False",144,0.708333333333333,-0.333333333333333
229,"07/15/2021",1415644865023651840,"New News Buy Passport With Bitcoin, Escape Taxes?  via  trending breakingnews ",31854.32,"United States of America",5115,5041,"False","False","2017-05-24 20:33:15","False","False",5041,0.454545454545455,0.136363636363636
231,"07/15/2021",1415644862230245376,"CAREFUL!!!! DON’T BE FOOLED BY THIS DANGEROUS BITCOIN BOU… btc ",31854.32,"United States of America",663,492,"False","False","2020-06-12 09:15:32","True","False",492,0.95,-0.4220703125
233,"07/15/2021",1415644861848424448,"The Cambridge Bitcoin Power Consumption INDEX shows that Bitcoin power consumption in July dropped by nearly 40% compared to May. Mainly because China bans most Bitcoin mining, which caused a drop in hashrate of about 40%.  ",31854.32,"HK",92743,290,"False","False","2010-02-05 07:41:41","False","False",290,0.411111111111111,0.255555555555556
243,"07/15/2021",1415644842160500736," My wallet can’t choose Bitcoin lol ",31854.32,"United States of America",7717,1084,"False","False","2014-11-11 17:41:10","True","False",1084,0.7,0.8
247,"07/15/2021",1415644840373542912,"FOR FREE 0.0001 bitcoin sign up bonus earn withdraw money going in your bank account and more ways available worldwide.FREE sign up on  For Free Money||||",31854.32,"For more money click on ",20,1404,"False","False","2020-11-25 20:00:55","True","False",1404,0.625,0.425
250,"07/15/2021",1415644838180106240,"Bitcoin network NODE count sets new all-time high    ath ",31854.32,"",32202,406,"False","False","2008-04-24 06:57:59","True","False",406,0.497272727272727,0.148181818181818
